Nombre,Domicilio
PRIMARIA GENERAL - REPUBLICA DE HONDURAS,"HEROES NO 121, GUERRERO, DELEGACION CUAUHTEMOC, MEXICO DF."
PREESCOLAR GENERAL CON SERVICIO ASISTENCIAL - EL ARBOLILLO,"GABRIEL GUERRA S/N Y EMILIANO ZAPATA, ZONA ESCOLAR, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - FRANCISCO HERNANDEZ MERCADO,"AV CORONA DEL ROSAL S/N, EL CARMEN, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
ESCUELA SECUNDARIA TECNICA 98,"CALLE SAN PABLO XALPA NUM 434, UNIDAD HAB SAN PABLO XALPA, DELEGACION AZCAPOTZALCO, MEXICO DF."
SECUNDARIA PARA TRABAJADORES - MARIANO MIRANDA FONSECA,"MITLA Y CUICUILCO, LETRAN VALLE, DELEGACION BENITO JUAREZ, MEXICO DF.."
PRIMARIA GENERAL - PROFR. LUIS AUDIRAC GALVEZ,"AV DIAZ ORDAZ Y NICOLAS BRAVO, AMPLIACION JALALPA, DELEGACION ALVARO OBREGON, MEXICO DF."
PRIMARIA GENERAL - REPUBLICA DOMINICANA,"CONSTANCIA NO 68, MORELOS, DELEGACION CUAUHTEMOC, MEXICO DF."
PREESCOLAR GENERAL - TENIENTE JUAN DE LA BARRERA,"OTAVALO Y 16 DE SEPTIEMBRE DE 1823, SAN BARTOLO ATEPEHUACAN, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PREESCOLAR GENERAL CON SERVICIO ASISTENCIAL - JOSE MARIA LUIS MORA,"GUERRERO NO 363, UNIDAD NONOALCO TLATELOLCO, DELEGACION CUAUHTEMOC, MEXICO DF."
PRIMARIA GENERAL - QUETZALCOATL,"AV DEL TALLER NO 47, PAULINO NAVARRO, DELEGACION CUAUHTEMOC, MEXICO DF."
PRIMARIA GENERAL - MARCELIANO TREJO SANTANA,"10 DE ABRIL Y PLAN SAN LORENZO, LA CEBADA, DELEGACION XOCHIMILCO, MEXICO DF."
PREESCOLAR GENERAL - CONETL,"AV 509 NO 121, SAN JUAN DE ARAGON, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - JOSE CLEMENTE OROZCO,"NORTE 94 NO 4345, MALINCHE, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
"LACTANTE, MATERNAL Y PREESCOLAR - CENDI SEP NO 15 CAROLINA AGAZZI","ROSAS MORENO NO 25, PUEBLO SANTA BARBARA, DELEGACION AZCAPOTZALCO, MEXICO DF."
PREESCOLAR GENERAL - VIRGILIO URIBE,"W MARTIN DEL CAMPO 108, MOCTEZUMA 1A SECCION, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
PREESCOLAR GENERAL - FRANCISCO INDALECIO MADERO,"MIXTECAS Y TOPILTZIN, AJUSCO, DELEGACION COYOACAN, MEXICO DF."
PRIMARIA GENERAL - MANUEL RUIZ RODRIGUEZ,"OPALO Y SECRETARIA C S/N, LA ESMERALDA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - MAESTRO MANUEL BONETA MENDEZ,"NUEVO LEON Y OAXACA, LA PROVIDENCIA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PREESCOLAR GENERAL - ROBERTO KOCH,"CALLE 21 NO 103, PRO HOGAR, DELEGACION AZCAPOTZALCO, MEXICO DF."
PRIMARIA GENERAL - HEROES DE EL CARRIZAL,
PRIMARIA GENERAL - PROFR. MAXIMILIANO MOLINA FUENTE,"CUAUHTEMOC S/N, SAN MIGUEL TOPILEJO, DELEGACION TLALPAN, MEXICO DF."
TELESECUNDARIA 101,"S JUANA I DE LA C Y AYUNTAMIENTO, MIGUEL HIDALGO, DELEGACION TLALPAN, MEXICO DF."
PREESCOLAR GENERAL - TUTUL-XIU,"RAMON CARDONA NO 8, SANTA CECILIA, DELEGACION TLAHUAC, MEXICO DF."
SECUNDARIA TECNICA INDUSTRIAL - ESCUELA SECUNDARIA TECNICA 89,"PROL HORTENCIAS Y PIRUL S/N, SAN LORENZO TEZONCO, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - JUAN RULFO,"BATALLA 5 DE MAYO Y F.LORETO, U HAB EJTO CONSTITUCIONALISTA, DELEGACION IZTAPALAPA, MEXICO DF."
SECUNDARIA GENERAL - ACAMAPICHTLI,"IZTACCIHUATL S/N  FOVISSSTE, UNIDAD HAB SAN LORENZO, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - XOCHIQUETZAL,"MONTE ENCINO NO 14, JESUS DEL MONTE, DELEGACION CUAJIMALPA DE MORELOS, MEXICO DF."
SECUNDARIA GENERAL - JOSE CLEMENTE OROZCO,"AMERICA Y ESTEBAN CORONADO, LA REGADERA, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - MANUEL C. TELLO,"TRINIDAD NO.43, SAN LORENZO XICOTENCATL, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - PROFR. SAUL VENANCIO ANCHONDO LOZOYA,"CARR PANORAMICA AJUSCO KM 8.5, BELVEDERE, DELEGACION TLALPAN, MEXICO DF."
PRIMARIA GENERAL - ETIOPIA,"SUR 112 Y PROLG CALLE 2, COLONIA LA TOLTECA, DELEGACION ALVARO OBREGON, MEXICO DF."
SECUNDARIA GENERAL - MAXIMINO MARTINEZ,"CALLEJON DEL ZAPOTE NO 48, ISIDRO FABELA, DELEGACION TLALPAN, MEXICO DF."
PRIMARIA GENERAL - MAURITANIA,"SANTA CRUZ NO 6, SAN MIGUEL TOPILEJO, DELEGACION TLALPAN, MEXICO DF."
PREESCOLAR GENERAL - REPUBLICA DE ARGENTINA,"MORELOS NO 4, TLALPAN, DELEGACION TLALPAN, MEXICO DF."
PRIMARIA GENERAL - PROFR. RAMON ANDRADE CARMONA,"SAN MIGUEL Y LOMA ESCONDIDA, LOMAS DE CUAUTEPEC, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
SECUNDARIA GENERAL - LIC. ADOLFO LOPEZ MATEOS,"AV EMILIANO ZAPATA S/N, CUAUTEPEC DE MADERO, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PREESCOLAR GENERAL - TSUTSUY,"FLOR SILVESTRE Y FLOR MARINA S/N, SANTIAGO ACAHUALTEPEC, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - QUETZALCOATL,"GUADALUPE VICTORIA Y ESTUD S/N, 25 DE JULIO, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
SECUNDARIA GENERAL - MAXIMO GORKI,"AV PAIS Y ESCUADRON 201, TICOMAN, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - TEZOZOMOC,"AV EDUARDO MOLINA NO 1722, VASCO DE QUIROGA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - MEXITLI,"CAMPO COBO Y CHILAPILLAS, SANTIAGO AHUIZOTLA, DELEGACION AZCAPOTZALCO, MEXICO DF."
PRIMARIA PARA ADULTOS - JOSE MARIA PINO SUAREZ,"JESUS CARRANZA NO 83, AMPLIACION MORELOS, DELEGACION CUAUHTEMOC, MEXICO DF."
SECUNDARIA GENERAL - ABRAHAM LINCOLN,"FERNANDO DE ALVA IXTLIXOCHITL NO 172, OBRERA, DELEGACION CUAUHTEMOC, MEXICO DF."
SECUNDARIA GENERAL - JUSTO SIERRA,"GUADALAJARA NO 9, ROMA NORTE, DELEGACION CUAUHTEMOC, MEXICO DF."
PREESCOLAR GENERAL - MARIA CRISTINA VELASCO GARDUÑO,"AV 531 NO 173  MANZANA 5, U SAN JUAN DE ARAGON, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - KOWEIT,"TALPA Y HEROE DE NACOZARI S/N, SAN FELIPE DE JESUS, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - LA PRADERA,"NEVADO DE TOLUCA NO 1, LA PRADERA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - JAPON,"OAXACA Y DURANGO, LA PROVIDENCIA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PREESCOLAR GENERAL - JOSEFA ORTIZ DE DOMINGUEZ,"PRIVADA EMILIANO ZAPATA NO 32, CUAUTEPEC DE MADERO, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - VENUSTIANO CARRANZA,"AV VASCO DE QUIROGA NO 1401, COLONIA PUEBLO SANTA FE, DELEGACION ALVARO OBREGON, MEXICO DF"
PRIMARIA GENERAL - LUIS DE LA BRENA,"REFORMA NO 1, PUEBLO SAN MIGUEL XICALCO, DELEGACION TLAHUAC, MEXICO DF."
LICENCIATURA EN EDUCACION FISICA (CURSOS ORDINARIOS) - ESCUELA SUPERIOR DE EDUCACION FISICA,"PUERTA 4 DE LA CIUDAD DEPORTIVA, EX-EJIDO MAGDALENA MIXHUCA, DELEGACION IZTACALCO, MEXICO DF."
PREESCOLAR GENERAL CON SERVICIO ASISTENCIAL - ELISA HERNANDEZ RODRIGUEZ,"AV CENTRAL S/N, U H ALIANZA POPUL REVOLUCIONARIA, DELEGACION COYOACAN, MEXICO DF."
PREESCOLAR GENERAL - LUZ MARIA SERRADELL,"CORUÑA Y ANDRES MOLINA ENRIQUEZ, VIADUCTO PIEDAD, DELEGACION IZTACALCO, MEXICO DF."
PREESCOLAR GENERAL - JUAN BAUTISTA DE LA SALLE,"SECC AHUEHUETES Y PIRUL, IZTACALCO, DELEGACION IZTACALCO, MEXICO DF."
PREESCOLAR GENERAL - ARBOLEDAS,"SANTA CRUZ ESQ ALTA TENSION, ARBOLEDAS, DELEGACION TLAHUAC, MEXICO DF."
PRIMARIA GENERAL - AURELIO MANRIQUE,"SABINOS NO 100, SANTA ANITA, DELEGACION IZTACALCO, MEXICO DF."
"LACTANTE, MATERNAL Y PREESCOLAR - CENDI SEP NO 12  JESUS REYES HEROLES","AV 505 Y 507 S/N, SAN JUAN DE ARAGON, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - RAMON LOPEZ VELARDE,"CALLE 33 Y C DEL ROSAL NO 17, GUADALUPE PROLETARIA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - TRABAJADORES DEL HIERRO,"CALZS COLTONGO Y VALLEJO S/N, TRABAJADORES DEL HIERRO, DELEGACION AZCAPOTZALCO, MEXICO DF."
PRIMARIA GENERAL - PROFR. VICTORIANO GONZALEZ GARZON,"XICO Y XALPATLAHUAC S/N, ARENAL 4A SECC, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
PRIMARIA GENERAL - DOMINGO MARTINEZ PAREDEZ,"YOBAIN Y HOLPECHEN S/N, CULTURA MAYA, DELEGACION TLALPAN, MEXICO DF."
PRIMARIA GENERAL - LEYES DE REFORMA DEL 57,"AV HIDALGO NO 54, SAN MIGUEL AJUSCO, DELEGACION TLAHUAC, MEXICO DF."
PRIMARIA GENERAL - ISAAC OCHOTERENA,"AV CRISTOBAL COLON NO 24, CHIMALCOYOTL, DELEGACION TLALPAN, MEXICO DF."
SECUNDARIA GENERAL - FRANCISCO JAVIER CLAVIJERO,"AV DEL TALLER E IXNAHUALTONGO NO 135, LORENZO BOTURINI, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
PRIMARIA GENERAL - ESTADO DE TAMAULIPAS,"AV DEL TALLER NO 344, EL PARQUE, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MEXICO,"RIBERA DE SAN COSME NO 83, SANTA MARIA LA RIBERA,"
PRIMARIA GENERAL - PROFR. BENJAMIN GURROLA CARRERA,"AV EDUARDO MOLINA Y OTE 95, NUEVA TENOCHTITLAN, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
ESCUELA SECUNDARIA TECNICA 57,"AV PARAISO E ITALIANOS S/N, COLONIA EL PARAISO, DELEGACION ALVARO OBREGON, MEXICO DF."
PRIMARIA GENERAL - MANUEL GUTIERREZ NAJERA,"CALLE 311 Y 314, NUEVA ATZACOALCO, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - QUETZALCOATL,"RAMON ALDANA S/N, PAULINO NAVARRO, DELEGACION CUAUHTEMOC, MEXICO DF."
ESCUELA SECUNDARIA TECNICA 23,"CALLE ESTRELLA NUM 27, GUERRERO, DELEGACION CUAUHTEMOC, MEXICO DF."
SECUNDARIA TECNICA INDUSTRIAL - ESCUELA SECUNDARIA TECNICA 49,"AV. ESCUINAPA Y PAPALOTL S/N, PEDREGAL DE SANTO DOMINGO, DELEGACION COYOACAN, MEXICO DF."
PREESCOLAR GENERAL - EMILIANO NEGRETE LOPEZ,"AV. EMILIANO ZAPATA Y SOTO Y GAMA, EMILIANO ZAPATA, DELEGACION COYOACAN, MEXICO DF."
PREESCOLAR GENERAL - VICENTE GUERRERO,"ANILLO PERIFERICO Y LIC DIAZ SOTO Y GAMA, UNIDAD HAB VICENTE GUERRERO, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - PROFR. CARLOS SANDOVAL SEVILLA,"CTO MIXTECO NO 85 Y ESQ SOTO MARINA, PASEOS DE CHURUBUSCO, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - ESTADO DE ISRAEL,"RET 52 DE CECILIO ROBELO S/N, JARDIN BALBUENA, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
PRIMARIA GENERAL - BATALLON DE SAN BLAS,"ALUMINIO Y CIENEGUILLAS S/N, FELIPE ANGELES, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
PREESCOLAR GENERAL - RAMON DE LA FUENTE MUÐIZ,"IXTACIHUATL S/N, UNIDAD HAB SAN LORENZO, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - PABLO PICASSO,"URSULO GALVAN NO 76, SANTA CRUZ MEYEHUALCO, DELEGACION IZTAPALAPA, MEXICO DF."
PREESCOLAR GENERAL - CUICUICANI,"VILLA REY Y MANUEL CAÐAS, DESARROLLO URBANO QUETZALCOATL, DELEGACION IZTAPALAPA, MEXICO DF."
TELESECUNDARIA 123,"U HAB VICENTE GUERRERO Y P DIAZ SOTO, UNIDAD HAB VICENTE GUERRERO, DELEGACION IZTAPALAPA, MEXICO DF."
ESCUELA SECUNDARIA TECNICA 25,"GRAN BRETAÑA NO. 147, SAN ANDRES TETEPILCO, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - LUIS PASTEUR,"AV. TEXCOCO S/N, UNIDAD HAB LA COLMENA, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - JAPON,"SUR 103'A' NO.624, SECTOR POPULAR, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - PONCIANO QUIROZ HERRERA,"AV JAVIER ROJO GOMEZ NO 324, AGRICOLA ORIENTAL, DELEGACION IZTACALCO, MEXICO DF."
PRIMARIA GENERAL - AUGUSTO COMTE,"AV SUR 20 NO 380, AGRICOLA ORIENTAL, DELEGACION IZTACALCO, MEXICO DF."
PRIMARIA GENERAL - YECAHUIZOTL,"C 6 ENTRE 9 Y 13 BARRIO S MIGUEL, PUEBLO STA CATARINA YECAHUIZOTL DELEGACION TLAHUAC, MEXICO DF."
PREESCOLAR GENERAL - BRIGIDA GARCIA DE JUAREZ,"JOSE LUGO GUERRERO Y LA TURBA S/N, GRANJAS CABRERA, DELEGACION TLAHUAC, MEXICO DF."
PREESCOLAR GENERAL - PROFR. RAFAEL RAMIREZ,"IZAMAL Y HOLPECHEN, JOSE LOPEZ PORTILLO, DELEGACION TLAHUAC, MEXICO DF."
PRIMARIA GENERAL - BASILIO VADILLO,"CORUÑA NO 325, VIADUCTO PIEDAD, DELEGACION IZTACALCO, MEXICO DF."
PRIMARIA GENERAL - ALBERTO M. ALVARADO,"CONSTITUYENTES NO 940, LOMAS ALTAS, DELEGACION MIGUEL HIDALGO, MEXICO DF."
PRIMARIA GENERAL - ARBOL DE LA NOCHE TRISTE,"MAR DE BANDA NO 11, POPOTLA, DELEGACION MIGUEL HIDALGO, MEXICO DF."
PRIMARIA GENERAL - LIC. CARLOS ZAPATA VELA,"AV DEL RECREO NO 1824, GABRIEL RAMOS MILLAN, DELEGACION IZTACALCO, MEXICO DF."
PRIMARIA GENERAL - PROFRA. ROSA NAVARRO,"AV FRANCISCO I MADERO NO 130, BARRIO SAN MIGUEL, DELEGACION IZTACALCO, MEXICO DF."
PREESCOLAR GENERAL - FRANCISCO JAVIER MINA,"ORIENTE 235 C Y SUR 16, AGRICOLA ORIENTAL, DELEGACION IZTACALCO, MEXICO DF."
PREESCOLAR GENERAL - CHICHEN-ITZA,"CALLE 51 NO 93, IGNACIO ZARAGOZA, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
PREESCOLAR GENERAL CON SERVICIO ASISTENCIAL - ESTADO DE AGUASCALIENTES,"ARGELIA 36, ROMERO RUBIO, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
PRIMARIA GENERAL - PROFR. GONZALO PEÑA TRONCOSO,"SIMON AUDENARD S/N, AVIACION CIVIL, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
PRIMARIA GENERAL - PLAN DE AYUTLA,"TRANSVAL Y DAMASCO S/N, ROMERO RUBIO, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
PRIMARIA GENERAL - ABRAHAM CASTELLANOS,"PLAZA DEL ESTUDIANTE  4, CENTRO, DELEGACION CUAUHTEMOC, MEXICO DF."
PRIMARIA GENERAL - PROFR. RUBEN VIZCARRA CAMPOS,"CALLE DE TOCHTLI Y CANTERA S/N, PEDREGAL DE SANTO DOMINGO, DELEGACION COYOACAN, MEXICO DF."
PRIMARIA GENERAL - 21 DE AGOSTO DE 1944,"AV VICTORIA NO 17, COPILCO EL BAJO, DELEGACION COYOACAN, MEXICO DF."
PRIMARIA GENERAL - LIC. PROTASIO TAGLE,"AV CENTENARIO NO 28, EL CARMEN, DELEGACION COYOACAN, MEXICO DF."
ESCUELA SECUNDARIA TECNICA 58,"AV. DIAZ SOTO Y GAMA Y CALLE LUIS M. MORONES S/N, UNIDAD HAB VICENTE GUERRERO, DELEGACION IZTAPALAPA, MEXICO DF."
PREESCOLAR GENERAL CON SERVICIO ASISTENCIAL - EHECATL,"SUBDIRECTORES TECNICOS Y MANUALES NO 30, LOMAS ESTRELLA, DELEGACION IZTAPALAPA, MEXICO DF."
PREESCOLAR GENERAL CON SERVICIO ASISTENCIAL - CUBA,"CALLE 39 NO 135  Y AV 12, SANTA CRUZ MEYEHUALCO, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - PROFR. LEOPOLDO VELAZQUEZ ACUÐA,"AV. GAVILAN NUM 33, UNIDAD HAB EL GAVILAN, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - EL AMO TORRES,"AV.5 DE MAYO NO.115, SANTA CRUZ MEYEHUALCO, DELEGACION IZTAPALAPA, MEXICO DF."
ESCUELA SECUNDARIA TECNICA 97,"ESTRELLA NUM 11, SAN JUAN XALPA, DELEGACION IZTAPALAPA, MEXICO DF."
SECUNDARIA GENERAL - FRANCISCO JAVIER MINA,"LEYES DE REFORMA Y GUERRA DE REFORMA, LEYES DE REFORMA, DELEGACION IZTAPALAPA, MEXICO DF."
SECUNDARIA PARA TRABAJADORES - SECUNDARIA PARA TRABAJADORES 92,"CERRADA PLAYA ICACOS S/N ENTRE ALLENDE Y CUYUTLAN, MILITAR MARTE, DELEGACION IZTACALCO, MEXICO DF."
SECUNDARIA PARA TRABAJADORES - CONSTITUYENTES DE 1917,"CALZ TLALPAN Y MUNICIPIO LIBRE, PORTALES, DELEGACION BENITO JUAREZ, MEXICO DF.."
PRIMARIA GENERAL - JOSE MARIA MATA,"AMORES NO 34,DEL VALLE, DELEGACION BENITO JUAREZ, MEXICO DF.."
PREESCOLAR GENERAL - DAVID ALFARO SIQUEIROS,"RET NORBETO FONSECA AND 16 R  M-4, UNIDAD HAB CTM, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PREESCOLAR GENERAL - CUECUECH,"LUIS ECHEVERRIA Y PUERTO MARFIL, LOMA DE LA PALMA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - RABINDRANATH TAGORE,"AV 29 DE OCTUBRE S/N, COLONIA LOMAS DE LA HERA, DELEGACION ALVARO OBREGON, MEXICO DF"
PRIMARIA GENERAL - PROFR. ONOFRE MELENDEZ B.,"HIDALGO NO 37, COLONIA SAN BARTOLO AMEYALCO, DELEGACION ALVARO OBREGON, MEXICO DF."
PRIMARIA GENERAL - FUERTE DE LORETO,"AV ACUEDUCTO Y CALLE 1779, TICOMAN, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - VALENTIN VAZQUEZ NAVA,"AV PRINCIPAL RETORNO DEL PARQUE, COLONIA SAN JOSE CAPULA O GOLONDRINAS,DELEGACION ALVARO OBREGON, MEXICO DF."
PRIMARIA GENERAL - ALEJANDRO DE HUMBOLDT,"SALAVERRY Y CATAMARCA 1098, SAN PEDRO ZACATENCO, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PREESCOLAR GENERAL - LUZ PADILLA DE AZUELA,"INSURGENTES NORTE NO 439, UNIDAD NONOALCO TLATELOLCO, DELEGACION CUAUHTEMOC, MEXICO DF."
PREESCOLAR GENERAL - JUAN E. HERNANDEZ Y DAVALOS,"MIGUEL NEGRETE S/N, PUEBLO SAN JUAN IXTAYOPAN, DELEGACION TLAHUAC, MEXICO DF."
PRIMARIA GENERAL - ENRIQUE GONZALEZ MARTINEZ,"NORTE 84 A NO 6618, SAN PEDRO EL CHICO, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - AURELIO MALDONADO CEDILLO,"MICHOACAN Y QUERETARO S/N, CHALMA DE GUADALUPE, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PREESCOLAR GENERAL - TLAMATINI,"CALLE IGNACIO ZARAGOZA S/N, AMPLIACION BENITO JUAREZ, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
TELESECUNDARIA 46,"DIF POPOCATEPETL Y VOLCAN ACATENANGO, AMPL PROVIDENCIA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - ANTONIO SANCHEZ MOLINA,"CHICOASEN S/N ENTRE CHEMAX Y SIN, HEROES DE PADIERNA, DELEGACION TLALPAN, MEXICO DF."
PRIMARIA GENERAL - CLUB DE LEONES NUMERO 2,"FLORINES Y PUERTO ARTURO, AQUILES SERDAN, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
PRIMARIA GENERAL - REPUBLICA DE NIGERIA,"RET 4 M RIVERA CAMBAS, JARDIN BALBUENA, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
PREESCOLAR GENERAL - XILONEM,"ORIENTE 158 NO. 236, MOCTEZUMA 2A SECCION, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
PREESCOLAR GENERAL - RICARDO BELL,"STAND DE TIRO S/N, JARDIN BALBUENA, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
PRIMARIA GENERAL - MAESTRO LEOPOLDO GARCIA VEYRAN,"CALLE PARALELA 7 S/N, COLONIA MOLINO DE SANTO DOMINGO, DELEGACION ALVARO OBREGON, MEXICO DF."
PRIMARIA GENERAL - JUAN A. MATEOS,"AV HIDALGO NO 5, COLONIA OLIVAR DEL CONDE 2A SECCION, DELEGACION ALVARO OBREGON, MEXICO DF."
SECUNDARIA GENERAL - PABLO CASALS,"VIADUCTO TLALPAN Y CAMINO A TEPEPAN, EL ARENAL TEPEPAN, DELEGACION TLALPAN, MEXICO DF."
PRIMARIA GENERAL - SIETE DE ENERO,"SUR 122 NO 10, COLONIA  COVE, DELEGACION ALVARO OBREGON, MEXICO DF."
ATENDER A PREESCOLAR CON PROBLEMAS LEVES EN SU DESARROLLO - CAPEP AZCAPOTZALCO 2,"MAYAS Y ALBAÑILES S/N, EL ROSARIO, DELEGACION AZCAPOTZALCO, MEXICO DF."
SECUNDARIA GENERAL - MEXICO,"AV BIOLOGO MAXIMINO MARTINEZ Y NORTE 57, OBRERO POPULAR, DELEGACION AZCAPOTZALCO, MEXICO DF."
PREESCOLAR GENERAL CON SERVICIO ASISTENCIAL - TOLTECAYOTL,"CIPACTLI NO 80, LA PRECIOSA, DELEGACION AZCAPOTZALCO, MEXICO DF."
PRIMARIA GENERAL - SILVESTRE REVUELTAS,"PRESIDENTES Y DR VERTIZ, PORTALES, DELEGACION BENITO JUAREZ, MEXICO DF.."
PRIMARIA GENERAL - MAESTRA JUANA PALACIOS,"AV CENTRAL SUR NO 560, PRO  HOGAR, DELEGACION AZCAPOTZALCO, MEXICO DF."
PRIMARIA GENERAL - SALVADOR NAVA MARTINEZ,"AV DIAZ ORDAZ S/N, COLONIA JALALPA EL GRANDE, DELEGACION ALVARO OBREGON, MEXICO DF."
PRIMARIA GENERAL - DR. BELISARIO DOMINGUEZ,"HEROES NO 25 GUERRERO, DELEGACION CUAUHTEMOC, MEXICO DF."
PRIMARIA GENERAL - REPUBLICA DE VENEZUELA,"SUR 117A NO 2209, JUVENTINO ROSAS, DELEGACION IZTACALCO, MEXICO DF."
SECUNDARIA GENERAL - IDA APPENDINI DAGASSO,"BERNARD SHAW NO 25 Y MASARYK, POLANCO REFORMA, DELEGACION MIGUEL HIDALGO, MEXICO DF."
PREESCOLAR GENERAL - JOSEFA DURAN,"TEPEYAUTLE Y ESCUINAPA. PEDREGAL DE SANTO DOMINGO, DELEGACION COYOACAN, MEXICO DF."
PRIMARIA GENERAL - EL PIPILA,"ELECTRIFICACION Y CONSTITUYENTES, AMPLIACION DANIEL GARZA, DELEGACION MIGUEL HIDALGO, MEXICO DF."
PRIMARIA GENERAL - EMPERADOR CUAUHTEMOC,"BOLDO NO 18, NUEVA SANTA MARIA, DELEGACION AZCAPOTZALCO, MEXICO DF."
PRIMARIA GENERAL - JULIO ZARATE,"HOJALATERIA NO 28, MORELOS, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
SECUNDARIA GENERAL - DR. ALFONSO PRUNEDA,"AV CHAPULTEPEC S/N, PUEBLO SAN GREGORIO ATLAPULCO, DELEGACION XOCHIMILCO, MEXICO DF."
PRIMARIA GENERAL - ACATONALLI,"ESCUDO NACIONAL S/N, NATIVITAS TULYEHUALCO, DELEGACION XOCHIMILCO, MEXICO DF."
PRIMARIA GENERAL - REINO UNIDO DE LA GRAN BRETAÑA,
PRIMARIA GENERAL - TONALAMATL,"SUR 111-A NO 2270, JUVENTINO ROSAS, DELEGACION IZTACALCO, MEXICO DF."
PREESCOLAR GENERAL - IGNACIO MANUEL ALTAMIRANO,"SUR 4 A NO 27- AGRICOLA ORIENTAL, DELEGACION IZTACALCO, MEXICO DF."
PREESCOLAR GENERAL CON SERVICIO ASISTENCIAL - JUANA PEREZ LUNA,"ORIENTE 118 Y SUR 177, CUCHILLA GABRIEL RAMOS MILLAN, DELEGACION IZTACALCO, MEXICO DF."
PRIMARIA GENERAL - MOCTEZUMA ILHUICAMINA,"CALLE 585 NO 28, U SAN JUAN DE ARAGON, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
TELESECUNDARIA 94,"VIÑA DEL MAR NUM 5, SAN PEDRO ZACATENCO, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
