Nombre,Domicilio
PREESCOLAR GENERAL - PROFR. BALDOMERO SAMANO MUÐOZ,"ARQUEOLOGOS 106 Y RIO CHURUBUSCO, EL RETONO, DELEGACION IZTAPALAPA, MEXICO DF."
ESCUELA SECUNDARIA TECNICA 115,"AV. DEL PARAISO ESQ. CAPULIN, SAN MIGUEL TEOTONGO, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - PROFR. JOSE DAVILA,"AV.NAUTLA NO.69, CASA BLANCA, DELEGACION IZTAPALAPA, MEXICO DF."
"INTERVENCION TEMPRANA, PREESCOLAR, PRIMARIA Y CAPACITACION LABORAL ESPECIAL - JUAN HUARTE DE SAN JUAN","CAMINO CERRO DE LA ESTRELLA S/N EDIF 5, EL SANTUARIO, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - JULIO CORTAZAR,"AV.JUAN CRISOSTOMO BONILLA S/N, UNIDAD HAB IGNACIO ZARAGOZA, DELEGACION IZTAPALAPA, MEXICO DF."
PREESCOLAR GENERAL - CARLOS CHAVEZ,"CIRCUITO RIO MIXTECO S/N, CONJ HAB REAL DEL MORAL, DELEGACION IZTAPALAPA, MEXICO DF."
PREESCOLAR GENERAL - TLAMATINI,"FELIPE ANGELES S/N, SAN MIGUEL TEOTONGO, DELEGACION IZTAPALAPA, MEXICO DF."
SECUNDARIA GENERAL - UNION DE REPUBLICAS SOCIALISTAS SOVIETICAS,"CIENFUEGOS NO 1069, LINDAVISTA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
SECUNDARIA GENERAL - GUSTAVO A MADERO,"PUERTO MAZATLAN Y MOCTEZUMA, LA PASTORA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - LUIS GONZALEZ OBREGON,"ENRIQUE REXAMEN 8, NARVARTE, DELEGACION BENITO JUAREZ, MEXICO DF.."
"INTERVENCION TEMPRANA, PREESCOLAR, PRIMARIA Y CAPACITACION LABORAL ESPECIAL - CENTRO DE ATENCION MULTIPLE 2","CASTILLA NO  148, ALAMOS, DELEGACION BENITO JUAREZ, MEXICO DF.."
PREESCOLAR GENERAL - TLAHUI OLLIN,"EL ROBLE S/N ESQ. AV. NUEVO LEON, BARRIO CALTONGO, DELEGACION XOCHIMILCO, MEXICO DF."
PRIMARIA GENERAL - CARLOS GARCIA,"NARCISO MENDOZA NO 19, SANTA MARIA NATIVITAS, DELEGACION XOCHIMILCO, MEXICO DF."
PRIMARIA GENERAL - RUMANIA,"AV PANAMERICANA S/N, PEDREGAL DE CARRASCO, DELEGACION COYOACAN, MEXICO DF."
PREESCOLAR GENERAL - HEROES DEL MOLINO DEL REY,"JULIAN DE LOS REYES NO 14, JUAN ESCUTIA, DELEGACION IZTAPALAPA, MEXICO DF."
PREESCOLAR GENERAL - REPUBLICA DE CHECOSLOVAQUIA,"MANUEL CAÐAS Y VILLA FEDERAL S/N, DESARROLLO URBANO QUETZALCOATL, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - NICOLAS GARCIA DE SAN VICENTE,"CHILPANCINGO SUR NO.60, CONJ POPULAR HAB ERMITA ZARAGOZA, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - ALBERTO MASFERRER,"SUR 103 A NO 604 Y AGUSTIN YAÐEZ, SECTOR POPULAR, DELEGACION IZTAPALAPA, MEXICO DF."
SECUNDARIA GENERAL - JOSE NATIVIDAD MACIAS,"LIC NATIVIDAD Y FRANCISCO ANDRADE, SAN MIGUEL, DELEGACION IZTAPALAPA, MEXICO DF."
